CASENUM,PER_NO,MTM_CRSH
201210432852,1,2
201210432852,1,19
201210433422,1,2
201210433476,1,21
201210433519,1,1
201210433711,1,0
201210433930,1,8
201210433930,1,15
201210434175,1,0
201210434222,1,0
201210434250,1,1
201210434250,1,19
201210434409,1,16
201210434454,1,0
201210434682,1,3
201210434682,2,3
201210434686,1,2
201210434688,1,0
201210434764,1,0
201210434857,1,0
201210434895,1,6
201210435078,1,0
201210435161,1,0
201210435168,1,2
201210435181,1,0
201210435187,1,0
201210435346,1,0
201210435394,1,0
201210435582,1,2
201210435582,1,3
201210435712,1,0
201210435772,1,1
201210436181,1,1
201210436370,1,19
201210712467,1,5
201210712534,1,3
201210712544,1,0
201210712752,1,0
201210712793,1,1
201210712955,1,1
201210712955,1,6
201210712957,1,1
201210712957,1,3
201210712957,1,6
201210713011,1,0
201210713022,1,8
201210713022,1,13
201210713038,1,0
201210713148,1,0
201210713226,1,2
201210713226,1,3
201210713233,1,5
201210713340,1,0
201210713478,1,21
201210713623,1,0
201210713831,1,0
201210713963,1,0
201210714056,1,3
201210714240,1,0
201210714751,1,2
201210714788,1,0
201210714971,1,1
201210715050,1,0
201210715058,1,0
201210715392,1,2
201210715392,1,3
201210715490,1,0
201210715629,1,1
201210715649,1,16
201210715679,1,8
201210716141,1,6
201210716141,1,9
201210716277,1,0
201210716385,1,0
201210716513,1,0
201210716744,1,2
201210716744,1,3
201210716744,1,9
201210716777,1,21
201210716845,1,2
201210716845,1,21
201210716993,1,0
201210717084,1,3
201210717178,1,0
201210717222,1,0
201210717231,1,1
201210717254,1,1
201210717323,1,0
201210718107,1,0
201210718122,1,1
201210718122,1,6
201210718137,1,1
201210718217,1,0
201210718230,1,0
201210718277,1,0
201210718353,1,1
201210718379,1,0
201210718379,2,0
201210718435,1,1
201210718452,1,0
201210718528,1,0
201210718564,1,0
201210718565,1,0
201210718565,2,0
201210718597,1,0
201210718639,1,1
201210718824,1,1
201210718857,1,0
201210718867,1,21
201210718893,1,0
201210718897,1,21
201210718922,1,0
201210718949,1,0
201210719151,1,1
201210719187,1,1
201210719187,1,6
201210719264,1,2
201210719286,1,0
201210719404,1,0
201210719410,1,0
201210719488,1,0
201210719490,1,0
201210719659,1,0
201210719691,1,3
201210719783,1,0
201210719858,1,0
201210719890,1,0
201210719923,1,2
201210719983,1,21
201210719991,1,0
201210719996,1,0
201210720011,1,0
201210720018,1,0
201210720171,1,0
201210720262,1,6
201210720371,1,2
201210720371,1,3
201210720440,1,16
201210720466,1,0
201210720531,1,0
201210720616,1,0
201210720632,1,1
201210720632,1,2
201210720670,1,1
201210720672,1,2
201210720695,1,6
201210720816,1,0
201210720936,1,0
201210720986,1,7
201210721032,1,2
201210721032,1,3
201210721047,1,2
201210721047,1,3
201210721071,1,1
201210721071,1,2
201210721201,1,0
201210721243,1,0
201210721278,1,0
201210721286,1,2
201210721332,1,1
201210721581,1,0
201210721716,1,0
201210721727,1,1
201210721807,1,0
201210721868,1,0
201210721953,1,0
201210721953,2,0
201210721957,1,0
201210722090,1,1
201210722150,1,0
201210722169,1,1
201210722627,1,1
201210722748,1,0
201210722973,1,0
201210723049,1,0
201210723123,1,0
201210723166,1,1
201210723356,1,1
201210723389,1,0
201210723602,1,0
201210723679,1,0
201210723848,1,0
201210723885,1,0
201210723945,1,1
201210724126,1,0
201211100223,1,0
201211100360,1,0
201211100481,1,1
201211100571,1,1
201211100720,1,0
201211100826,1,0
201211100904,1,1
201211101159,1,6
201211101230,1,0
201211101374,1,8
201211101493,1,1
201211101968,1,19
201211102029,1,1
201211103038,1,1
201211104811,1,2
201211104811,1,19
201211104812,1,1
201211104812,1,2
201211104812,1,19
201211190690,1,9
201211191068,1,1
201211191377,1,0
201211191892,1,1
201211192060,1,0
201211192237,1,0
201211192258,1,1
201211192280,1,1
201211192328,1,1
201211192389,1,1
201211192435,1,1
201211192435,2,1
201211192435,3,1
201211192435,4,1
201211192485,1,1
201211192569,1,0
201211192631,1,5
201211192910,1,1
201211193220,1,1
201211193476,1,0
201211193606,1,0
201211193667,1,2
201211193731,1,1
201211194088,1,0
201211194151,1,9
201211194199,1,0
201211194227,1,0
201211194243,1,1
201211194250,1,2
201211194250,1,3
201211194669,1,9
201211194676,1,9
201211194734,1,0
201211194894,1,9
201211194935,1,0
201211194989,1,9
201211195048,1,1
201211195122,1,1
201211195158,1,0
201211195306,1,0
201211195374,1,2
