CASENUM,VEH_NO,MDRDSTRD
201310437929,1,0
201310437936,1,0
201310437942,1,0
201310437942,2,0
201310437943,1,0
201310437946,1,17
201310437946,2,0
201310437949,1,0
201310437949,2,17
201310437955,1,0
201310437955,2,0
201310437957,1,0
201310437959,1,0
201310437959,2,0
201310437962,1,1
201310437962,2,0
201310437963,1,0
201310437963,2,0
201310437963,3,0
201310437963,4,0
201310437963,5,0
201310437990,1,0
201310437990,2,0
201310437994,1,0
201310437999,1,0
201310437999,2,0
201310438005,1,0
201310438009,1,0
201310438009,2,17
201310438014,1,0
201310438016,1,17
201310438023,1,0
201310438023,2,0
201310438023,3,0
201310438024,2,0
201310438048,1,0
201310438050,1,0
201310438059,1,0
201310438059,2,0
201310438060,1,0
201310438060,2,0
201310438064,1,0
201310438074,1,0
201310438074,2,0
201310438075,2,0
201310438081,2,0
201310438082,1,0
201310438082,2,0
201310438082,3,0
201310438088,1,0
201310438091,1,0
201310438094,1,0
201310438102,1,0
201310438102,2,0
201310438103,1,0
201310438133,1,0
201310438139,1,98
201310438141,1,0
201310438141,2,0
201310438143,1,0
201310438146,1,0
201310438150,1,0
201310438153,1,3
201310438155,1,0
201310438155,2,0
201310438172,1,0
201310438172,2,0
201310438180,1,0
201310438180,2,0
201310438181,1,0
201310438181,2,0
201310438183,1,0
201310438185,1,0
201310438189,1,0
201310438189,2,0
201310438190,1,0
201310438206,1,0
201310438211,1,0
201310438211,2,0
201310438218,1,0
201310438220,1,17
201310438220,2,0
201310438225,1,5
201310438235,1,0
201310438235,2,0
201310438238,1,17
201310438238,2,0
201310438240,1,0
201310438240,2,0
201310438245,1,0
201310438245,2,0
201310438251,1,0
201310438251,2,0
201310438253,1,0
201310438253,2,0
201310438260,1,0
201310438260,2,0
201310438262,1,0
201310438265,1,0
201310438265,2,0
201310438267,1,0
201310438267,2,0
201310438268,1,0
201310438268,2,0
201310438299,1,0
201310438301,1,13
201310438301,2,16
201310438306,1,1
201310438306,2,0
201310438319,1,0
201310438319,2,0
201310438319,3,0
201310438321,1,0
