CASENUM,STRATUM,REGION,PJ,PSU,PSUSTRAT,WEIGHT,VE_TOTAL,MONTH,WKDY_IM,YEAR,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,LAND_USE,PVH_INVL,TYP_INT,REL_ROAD,CF1,CF2,CF3
201310436487,6,1,10,2,3,179.70651,1,1,7,2013,1,30,11,0,0,1,2,1,0,0,2,1,0,1,1,0,0,0
201310436580,6,1,2,2,3,217.168,1,1,7,2013,18,49,48,0,0,1,2,1,0,0,2,1,0,1,4,0,0,0
201310436595,4,1,4,2,3,323.32025,2,1,4,2013,14,15,12,1,0,2,1,10,0,0,2,8,0,,1,0,0,0
201310436599,4,1,6,2,3,344.96213,1,1,4,2013,17,23,11,0,0,1,2,10,0,0,2,3,0,1,1,0,0,0
201310436605,6,1,6,2,3,197.12122,2,1,3,2013,17,17,12,2,0,2,3,1,0,0,2,3,0,,1,0,0,0
201310436613,4,1,10,2,3,359.41302,2,1,3,2013,7,20,12,7,0,1,1,1,0,0,2,1,0,1,1,0,0,0
201310436617,6,1,10,2,3,179.70651,1,1,4,2013,19,10,24,0,0,1,2,10,0,0,2,1,0,1,4,0,0,0
201310436619,4,1,10,2,3,359.41302,2,1,7,2013,16,38,12,1,0,1,5,10,1,2,2,1,0,1,1,0,0,0
201310436659,4,1,1,2,3,352.898,2,1,4,2013,12,30,12,1,0,2,1,1,1,1,2,1,0,3,1,0,0,0
201310436662,2,1,1,2,3,54.292,2,1,5,2013,7,15,12,7,0,1,1,1,0,0,2,1,0,1,1,0,0,0
201310436676,4,1,3,2,3,352.898,2,1,6,2013,18,0,12,7,0,2,3,1,0,0,2,1,0,,1,0,0,0
201310436684,6,1,4,2,3,215.54684,2,1,7,2013,12,20,12,1,0,4,1,10,0,0,2,8,0,1,1,0,0,0
201310436713,6,1,3,2,3,217.168,2,1,6,2013,18,7,12,6,0,2,3,10,1,1,2,1,0,,1,0,0,0
201310436714,4,1,3,2,3,352.898,2,1,6,2013,19,2,12,6,0,2,3,10,0,0,2,1,0,,1,0,0,0
201310436717,5,1,4,2,3,107.77342,1,1,5,2013,1,29,43,0,0,1,3,10,1,1,2,8,0,1,4,0,0,0
201310436719,4,1,4,2,3,323.32025,2,1,5,2013,8,6,12,8,0,1,1,1,0,0,2,8,0,1,1,0,0,0
201310436725,5,1,6,2,3,98.56061,2,1,4,2013,8,19,12,6,0,1,1,4,1,3,2,3,0,1,1,0,0,0
201310436726,4,1,6,2,3,344.96213,2,1,4,2013,5,40,12,6,0,2,2,4,0,0,2,3,0,2,1,0,0,0
