CASENUM,PER_NO,MTM_CRSH
201313072786,1,2
201313072786,1,19
201313072828,1,2
201313072919,1,0
201313073029,1,1
201313073029,1,19
201313073317,1,2
201313073317,1,19
201313073409,1,0
201313073511,1,2
201313073952,1,1
201313073952,1,2
201313074531,1,0
201313558683,1,0
201313558686,1,0
201313558983,1,0
201313559175,1,0
201313559206,1,0
201313559761,1,0
201313560036,1,0
201313560617,1,0
201313560686,1,19
201313560686,2,19
201313560813,1,0
201313560872,1,2
201313560876,1,0
201313561067,1,2
201313561138,1,12
201313561138,1,19
201313561151,1,1
201313561151,1,12
201313561288,1,0
201313561425,1,2
201313561437,1,0
201313561818,1,21
201313562213,1,0
201313562298,1,0
201313562436,1,0
201313562460,1,0
201313562613,1,0
201313562676,1,0
201313562814,1,0
201313563030,1,0
201313563235,1,18
201313563259,1,2
201313563259,1,12
201313563273,1,9
201313563274,1,21
201313563597,1,0
201313563716,1,21
201313563727,1,0
201313563870,1,0
201313563988,1,0
201313564061,1,8
201313564099,1,0
201313564148,1,0
201313564253,1,4
201313564255,1,2
201313564305,1,0
201313564321,1,0
201313564398,1,0
201313564409,1,1
201313564733,1,0
201313564963,1,0
201313565171,1,0
201313565273,1,0
201313565290,1,1
201313565290,1,14
201313565301,1,0
201313565370,1,0
201313565394,1,0
201313565525,1,0
201313565547,1,0
201313565580,1,10
201313565590,1,0
201313565786,1,0
201313565788,1,1
201313565881,1,13
201313565883,1,0
201313565943,1,1
201313565991,1,21
201313566100,1,1
201313566354,1,0
201313566457,1,0
201313566743,1,0
201313566798,1,19
201313566879,1,0
201313567592,1,1
201314089467,1,0
201314090592,1,1
201314090653,1,0
201314100335,1,0
201314100335,2,0
201314100351,1,2
201314100370,1,0
201314100389,1,7
201314100408,1,19
201314792310,1,0
201314792310,2,0
201314792462,1,0
201314792826,1,0
201314793063,1,1
201314793854,1,2
201314793854,1,3
201314793874,1,0
201314794049,1,0
201314794052,1,0
201314794100,1,7
201314794202,1,2
201314794325,1,0
201314794349,1,0
201314794512,1,2
201314794546,1,0
201314794714,1,0
201314794726,1,0
201314794761,1,0
201314794924,1,0
201314795068,1,2
201314795154,1,3
201314795381,1,4
201314795426,1,2
201314795426,1,6
201314796295,1,0
201315465791,1,21
201315465801,1,0
201315465946,1,19
201315465980,1,1
201315466009,1,0
201315466009,2,0
201315466033,1,0
201315466121,1,0
201315466208,1,2
201315466228,1,0
201315466336,1,2
201315466336,1,3
201315466352,1,0
201315466352,2,0
201315466405,1,0
201315466459,1,6
201315466667,1,2
201315466701,1,1
201315466701,1,2
201315466749,1,0
201315466768,1,3
201315466768,2,3
201315466808,1,12
201315466953,1,2
201315466953,1,3
201315466988,1,0
201315467113,1,0
201315467150,1,0
201315467172,1,1
201315467186,1,0
201315467246,1,0
201315467252,1,1
201315467302,1,0
201315467315,1,2
201315467414,1,15
201315467414,1,18
201315467457,1,1
201315467457,1,2
201315467631,1,0
201315467634,1,0
201315467734,1,0
201315467758,1,2
201315467765,1,3
201315467765,2,3
201315467795,1,1
201315467819,1,1
201315467819,1,5
201315467833,1,0
201315467874,1,0
201315468118,1,2
201315468148,1,0
201315468309,1,0
201315468348,1,0
201315468366,1,9
201315468393,1,0
201315468446,1,1
201315468446,1,2
201315468446,1,12
201315468483,1,2
201315468507,1,1
201315468574,1,0
201315468588,1,0
201315468760,1,1
201315468772,1,2
201315469001,1,1
201315469074,1,2
201315469097,1,1
201315469097,1,2
201315469097,2,1
201315469097,2,2
201315469140,1,2
201315469205,1,2
201315469229,1,0
201315469491,1,1
201315469537,1,0
201315469595,1,9
201315469598,1,0
201315469598,2,0
201315469598,3,0
201315469598,4,0
201315469725,1,1
201315469793,1,21
201315469994,1,0
201315470015,1,0
201315470080,1,0
201315470134,1,2
201315470134,1,12
201315470295,1,0
201315470434,1,0
201315470511,1,1
201315470570,1,2
201315470648,1,2
201315470648,1,9
201315470648,1,12
201315470713,1,0
201315470867,1,0
201315470883,1,0
201315470936,1,12
201315471035,1,0
201315471197,1,0
201315471243,1,4
201315471292,1,2
201315471318,1,1
201315471318,2,1
201315471338,1,9
201315471432,1,2
201315471512,1,2
201315471512,1,7
201315471568,1,12
201315471594,1,0
201315471649,1,1
201315471894,1,2
201315472004,1,9
201315472004,1,19
201315472161,1,0
201315472277,1,19
201315472429,1,2
201315472462,1,2
201315472462,1,19
201315472496,1,0
201315472644,1,3
201315472727,1,1
201315472808,1,0
201315472822,1,2
201315472822,1,19
201315472829,1,2
201315472979,1,0
201315472979,2,0
201315473035,1,0
201315473194,1,1
201315473233,1,2
201315473279,1,4
201315473330,1,0
201315473356,1,0
201315473553,1,2
201315473591,1,0
201315473640,1,1
201315473640,1,2
201315473640,1,3
201315473753,1,2
201315473844,1,13
201315473844,1,19
201315473977,1,0
201315474039,1,0
201315474070,1,3
201315474109,1,2
201315474157,1,0
201315474177,1,0
201315474220,1,3
201315474234,1,0
201315474313,1,8
201315474448,1,2
201316100084,1,0
201316100317,1,12
201316100455,1,0
201316100599,1,0
201316100801,1,2
201316101285,1,0
201316102074,1,1
201316102713,1,2
201316102713,2,2
201316102964,1,4
201316102964,1,19
201316103513,1,2
201316103513,1,3
201316103934,1,0
201316103998,1,3
201316105458,1,0
201316106285,1,0
201316106285,2,0
201316106932,1,0
201316108060,1,19
201316108224,1,0
201316108423,1,0
201316108682,1,9
201316108682,1,19
201316191178,1,0
201316191327,1,0
201316191503,1,0
201316192316,1,3
201316192753,1,1
201316193511,1,0
201316193511,2,0
201316194188,1,0
201316194209,1,0
201316194270,1,0
201316194476,1,0
201316195890,1,2
201316195930,1,21
201316196506,1,3
201316196715,1,2
201316197236,1,7
201316197358,1,2
201316197529,1,0
201316197633,1,0
201316198180,1,0
201316198901,1,0
201316199852,1,0
201316500341,1,0
201316500576,1,0
201316500719,1,7
201316501429,1,4
201316502016,1,1
201316502341,1,1
201316502783,1,2
201316502783,1,3
201316503130,1,21
201316503130,2,21
201316503288,1,2
201316503385,1,2
201316503385,1,12
201316503385,2,2
201316503385,2,12
201316503753,1,9
201316503859,1,2
201316503974,1,2
201316503974,1,3
201316504031,1,19
201316504508,1,0
201316504894,1,0
201316504921,1,9
201316505058,1,1
201316505292,1,1
201316505601,1,0
201316505906,1,19
201316507053,1,0
201316507238,1,0
201316507295,1,0
201316507826,1,0
201316508119,1,12
201316508279,1,4
201316595688,1,2
201316596368,1,0
201316596943,1,6
201316597352,1,4
201316598068,1,3
201316598265,1,0
201316599222,1,1
201316599338,1,0
201316599507,1,1
201316599813,1,2
201317281761,1,2
201317281761,2,2
201317282019,1,1
201317282019,1,2
201317282036,1,0
