CASENUM,PER_NO,MTM_CRSH
201110429484,1,0
201110429526,1,0
201110429542,1,0
201110429558,1,0
201110429562,1,0
201110429644,1,0
201110430359,1,0
201110430687,1,2
201110430891,1,0
201110430953,1,0
201110430970,1,2
201110430970,1,3
201110431018,1,2
201110431052,1,1
201110431079,1,0
201110431670,1,1
201110431870,1,21
201110432194,1,6
201110432430,1,2
201110700485,1,2
201110700561,1,0
201110700636,1,0
201110700695,1,0
201110700786,1,0
201110700874,1,0
201110701165,1,21
201110701207,1,0
201110701427,1,0
201110701560,1,0
201110701595,1,0
201110701636,1,0
201110701679,1,0
201110701696,1,2
201110701975,1,0
201110702017,1,0
201110702084,1,0
201110702569,1,1
201110702621,1,0
201110702850,1,0
201110702956,1,0
201110703012,1,2
201110703019,1,0
201110703062,1,0
201110703323,1,1
201110703333,1,0
201110703333,2,0
201110703423,1,0
201110703530,1,0
201110703574,1,12
201110703736,1,12
201110703993,1,0
201110704019,1,3
201110704059,1,21
201110704124,1,1
201110704304,1,1
201110704348,1,0
201110704367,1,0
201110704377,1,1
201110704497,1,0
201110704804,1,0
201110704988,1,0
201110705025,1,2
201110705025,1,3
201110705046,1,1
201110705130,1,0
201110705140,1,1
201110705168,1,2
201110705304,1,0
201110705402,1,4
201110705468,1,1
201110705541,1,21
201110705550,1,4
201110705597,1,21
201110705599,1,0
201110705624,1,0
201110705833,1,1
201110705833,1,6
201110705842,1,1
201110705941,1,0
201110706003,1,3
201110706003,2,3
201110706003,3,3
201110706271,1,9
201110706479,1,0
201110706502,1,0
201110706669,1,0
201110706727,1,1
201110706858,1,1
201110706870,1,0
201110707023,1,0
201110707101,1,1
201110707119,1,2
201110707119,1,3
201110707167,1,0
201110707195,1,0
201110707260,1,1
201110707309,1,1
201110707514,1,0
201110707635,1,1
201110707638,1,5
201110707840,1,1
201110707912,1,2
201110707912,1,3
201110707953,1,3
201110708091,1,0
201110708193,1,0
201110708233,1,0
201110708249,1,2
201110708259,1,0
201110708286,1,2
201110708286,1,3
201110708863,1,2
201110708898,1,0
201110708925,1,0
201110709095,1,1
201110709095,1,4
201110709260,1,1
201110709270,1,1
201110709336,1,18
201110709353,1,21
201110709415,1,15
201110709469,1,0
201110709532,1,0
201110709768,1,0
201110709993,1,0
201110710018,1,0
201110710115,1,1
201110710306,1,0
201110710371,1,0
201110710538,1,0
201110710572,1,0
201110710572,2,0
201110710810,1,0
201110710849,1,6
201110711148,1,0
201110711459,1,0
201110711541,1,0
201110711617,1,8
201110711806,1,1
201110711806,1,2
201110711840,1,0
201110711867,1,0
201110712071,1,1
201110712174,1,0
201110712198,1,0
201110712299,1,2
201110712327,1,0
201111179939,1,5
201111180041,1,6
201111180318,1,0
201111180425,1,4
201111180748,1,4
201111180757,1,0
201111180917,1,0
201111181359,1,19
201111181453,1,2
201111181634,1,0
201111182193,1,0
201111182493,1,3
201111183077,1,0
201111183182,1,0
201111183243,1,7
201111183671,1,9
201111183722,1,3
201111183999,1,0
201111184058,1,4
201111184200,1,10
201111184308,1,0
201111184333,1,2
201111184333,2,2
201111184567,1,1
201111184612,1,1
201111184634,1,2
201111184699,1,7
201111184745,1,10
201111184768,1,9
201111184780,1,0
201111184923,1,1
201111184938,1,0
201111185199,1,0
201111185308,1,2
201111185468,1,1
201111185551,1,1
201111185551,1,12
201111185576,1,2
201111185576,1,21
201111185724,1,2
201111185765,1,2
201111185919,1,3
201111186065,1,4
201111186134,1,10
201111186283,1,0
201111186329,1,9
201111186332,1,3
201111186354,1,2
201111186800,1,0
201111186800,2,0
201111187360,1,10
201111187375,1,1
201111187375,1,6
201111187375,1,12
201111187375,2,1
201111187375,3,1
201111187383,1,1
201111187422,1,6
201111187422,1,21
201111187553,1,0
201111187680,1,10
201111187688,1,12
201111187688,1,19
201111187704,1,1
201111187704,1,19
201111187763,1,1
201111188165,1,10
201111188165,1,19
201111188384,1,7
201111188661,1,0
201111188709,1,16
201111188777,1,19
201111188900,1,10
201111189153,1,19
201111189174,1,3
201111189174,1,19
201111189222,1,4
201111189300,1,19
201111189300,1,14
201111189373,1,19
201111189426,1,0
201111189779,1,0
201111189925,1,0
201111189998,1,1
201111189998,1,19
201111190462,1,0
201111190947,1,1
201111190947,1,12
201111520657,1,5
201111520675,1,0
201111520691,1,19
201111520771,1,0
201111521479,1,0
201111521604,1,17
201111521751,1,0
201111521845,1,0
201111522151,1,0
201111522213,1,9
201111522221,1,2
201111522221,1,3
201111522311,1,6
201111522421,1,2
201111523877,1,0
201111524190,1,2
201111524617,1,19
201112004089,1,1
201112004106,1,0
201112004408,1,21
201112416722,1,4
201112416802,1,2
201112416802,1,3
201112416828,1,0
201112417035,1,0
201112417291,1,0
201112417501,1,0
201112417539,1,2
201112417539,1,3
201112417539,1,18
201112417748,1,21
201112417750,1,2
201112417804,1,0
201112417840,1,2
201112417840,1,17
201112417858,1,0
201112417877,1,0
201112417995,1,2
201112418176,1,21
201112418203,1,0
201112418345,1,1
201112418345,1,19
201112418347,1,1
201112418349,1,17
201112418681,1,10
201112418688,1,3
201112418711,1,0
201112418782,1,0
201112801346,1,1
201112801388,1,0
201113043722,1,0
201113043847,1,2
201113043847,1,4
201113044174,1,3
201113044672,1,1
201113044699,1,2
201113044744,1,0
201113044890,1,1
201113045340,1,21
201113045965,1,0
201113046114,1,0
201113046159,1,1
201113046416,1,0
201113046798,1,1
201113047392,1,1
201113047438,1,19
201113047462,1,12
201113047545,1,1
201113047545,1,19
201113047552,1,9
201113047598,1,21
201113047989,1,1
201113048044,1,2
201113048044,1,6
201113048289,1,2
201113048601,1,17
201113048636,1,1
201113048906,1,0
201113049040,1,3
201113049042,1,1
201113049250,1,0
201113049856,1,6
201113049868,1,0
201113049986,1,0
201113050115,1,0
201113050468,1,1
201113050468,1,19
201113050829,1,6
201113050829,1,19
201113050884,1,1
201113050909,1,19
201113051717,1,19
201113051823,1,0
201113051968,1,1
201113052010,1,0
201113052145,1,1
201113052145,1,19
201113052216,1,1
201113052216,1,19
201113052359,1,4
201113052426,1,0
201113053078,1,1
201113053354,1,0
201113053490,1,1
201113539786,1,4
201113540601,1,0
201113540601,2,0
201113540626,1,2
201113541244,1,0
201113541563,1,0
201113541576,1,0
201113541602,1,1
201113541812,1,21
201113541872,1,21
201113541872,2,21
201113542179,1,4
201113542179,2,4
201113542229,1,0
201113542403,1,0
201113542588,1,0
201113542588,2,0
201113542786,1,0
201113542834,1,0
201113542964,1,1
201113542974,1,0
201113543112,1,1
201113543119,1,1
201113543140,1,18
201113543723,1,1
201113543808,1,0
201113543877,1,4
201113543929,1,5
201113543991,1,0
201113544199,1,0
201113544210,1,0
201113544223,1,0
201113544234,1,1
201113544238,1,18
201113544393,1,4
201113544483,1,1
201113544491,1,1
201113544513,1,0
201113544637,1,1
201113544637,2,1
201113544686,1,1
201113544730,1,0
201113544732,1,0
201113544798,1,0
201113544811,1,2
201113544880,1,4
201113544934,1,0
201113545035,1,0
201113545356,1,0
201113545359,1,0
201113545532,1,1
201113545573,1,0
201113545574,1,0
201113545723,1,0
201113545844,1,1
201113545844,1,2
201113545943,1,0
201113546089,1,1
201113546140,1,0
201113546193,1,14
201113546193,1,19
201113546199,1,0
201113546272,1,4
201113546273,1,0
201113546374,1,0
201113546429,1,0
201113546621,1,0
201113546711,1,7
201113546712,1,14
201113546712,1,19
201113546858,1,0
201113546865,1,0
201113546934,1,2
201113546955,1,0
201113547045,1,2
201113547048,1,0
201113547105,1,2
201113547107,1,8
201113547144,1,0
201113547159,1,0
201113547170,1,1
201113547254,1,1
201113547421,1,1
201113547517,1,0
201113547517,2,0
201113547521,1,0
201113547778,1,15
201113547902,1,2
201113548172,1,0
201113548180,1,2
201113548303,1,1
201113548435,1,0
201113548436,1,0
201113548702,1,2
201113548806,1,0
201113548827,1,0
201113548838,1,1
201113549111,1,12
201113549195,1,0
201113549286,1,0
201113549331,1,0
201113549343,1,1
201113549599,1,0
201113549709,1,0
201113549831,1,4
201113800251,1,1
201113800507,1,0
201113800594,1,5
201114074227,1,21
201114074676,1,0
201114075226,1,1
201114075698,1,1
201114075908,1,1
201114075932,1,0
201114076732,1,2
201114077077,1,1
201114077574,1,10
201114077641,1,2
201114077779,1,4
201114077996,1,1
201114078025,1,0
201114078121,1,1
201114078142,1,1
201114078222,1,1
201114078679,1,0
201114078725,1,0
201114079171,1,4
201114079286,1,3
201114079364,1,0
201114079552,1,1
201114079605,1,2
201114079617,1,4
201114080065,1,2
201114080192,1,19
201114080201,1,2
201114080350,1,21
201114080387,1,0
201114080589,1,0
201114080774,1,4
201114107580,1,1
201114107744,1,1
201114107744,1,2
201114108502,1,13
201114108502,1,14
201114108519,1,0
201114108635,1,6
201114108784,1,2
201114108800,1,1
201114108800,1,2
201114108800,1,3
201114108962,1,1
201114108962,1,2
201114109034,1,0
201114109126,1,2
201114109126,1,12
201114109253,1,1
201114109253,1,2
201114109313,1,0
201114109760,1,1
201114110004,1,2
201114110004,1,3
201114110004,2,3
201114110004,2,2
201114110027,1,0
201114110068,1,1
201114110068,1,12
201114110190,1,2
201114110470,1,0
201114110570,1,0
201114110570,2,0
201114110570,3,0
201114110745,1,2
201114110745,1,3
201114110913,1,0
201114110985,1,2
201114111063,1,4
201114111063,1,19
201114742985,1,9
201114743008,1,4
201114743186,1,1
201114743306,1,1
201114743563,1,4
201114743618,1,4
201114743618,2,4
201114743618,3,4
201114743910,1,4
201114744224,1,7
201114744399,1,21
201114744464,1,0
201114744476,1,0
201114744505,1,0
201114744582,1,15
201114744589,1,2
201114744655,1,0
201114744664,1,1
201114744805,1,0
201114744848,1,0
201114744903,1,1
201114744951,1,0
201114745135,1,2
201114745138,1,0
201114745166,1,1
201114745242,1,2
201114745263,1,0
201114745269,1,0
201114745273,1,4
201114745396,1,1
201114745450,1,0
201114745452,1,1
201114745537,1,10
201114745540,1,7
201114745567,1,2
201114745567,1,10
201114745709,1,1
201114745893,1,0
201114745904,1,4
201114745918,1,2
201114746085,1,4
201114746292,1,0
201114746458,1,0
201114746481,1,19
201114900350,1,1
201114981062,1,4
201114981063,1,1
201114981089,1,0
201114981645,1,1
201114981739,1,1
201114981897,1,21
201114981897,2,21
201114982597,1,0
201114982732,1,4
201114982787,1,4
201114982899,1,0
201114983653,1,0
201114984938,1,9
201114984996,1,1
201114985062,1,10
201114985315,1,0
201114985718,1,1
201114986014,1,0
201114986014,2,0
201114986055,1,1
201114986068,1,2
201114986599,1,6
201114986629,1,21
201114987460,1,21
201114987486,1,0
201114987528,1,3
201114987583,1,0
201114987891,1,1
201114988120,1,1
201114988147,1,0
201114988810,1,4
201114988956,1,2
201114989154,1,2
201114989193,1,1
201114989247,1,0
201114989871,1,21
201114990075,1,0
201114990470,1,2
201114990531,1,0
201114990884,1,0
201114990972,1,0
201114991043,1,1
201114991086,1,21
201114991114,1,2
201114991119,1,0
201114991119,2,0
201114991334,1,1
201114991409,1,2
201114991544,1,21
201114991636,1,0
201114992047,1,2
201114992118,1,0
201114992429,1,14
201114992976,1,1
201114993072,1,0
201114993104,1,0
201114993276,1,7
201114993544,1,15
201114993631,1,0
201114993804,1,0
201114994463,1,21
201114994470,1,2
201114994481,1,0
201114994653,1,1
201114994730,1,0
201114994749,1,2
201114994913,1,0
201114995091,1,0
201114995183,1,0
201114995251,1,0
201114995382,1,2
201114995493,1,0
201114995497,1,1
201114995646,1,21
201114995706,1,2
201114996047,1,2
201114996067,1,2
201114996152,1,1
201114996158,1,1
201114996810,1,17
201114996860,1,2
201114997112,1,10
201114997131,1,1
201114997140,1,1
201114997140,1,12
201114997510,1,0
201114997553,1,1
201114998542,1,0
201114998572,1,6
201114999339,1,0
201115452463,1,2
201115452463,1,4
201115452483,1,0
201115452533,1,0
201115452537,1,1
201115452619,1,4
201115452731,1,3
201115452757,1,4
201115452812,1,0
201115452817,1,2
201115452827,1,5
201115452830,1,6
201115452841,1,2
201115452866,1,1
201115452866,1,2
201115452874,1,2
201115452874,1,3
201115452884,1,2
201115452897,1,0
201115452904,1,0
201115452917,1,12
201115452930,1,2
201115452948,1,6
201115452968,1,0
201115452970,1,4
201115453063,1,0
201115453063,2,0
201115453100,1,0
201115453103,1,0
201115453128,1,9
201115453141,1,1
201115453149,1,0
201115453178,1,0
201115453219,1,0
201115453242,1,1
201115453244,1,4
201115453254,1,2
201115453263,1,7
201115453264,1,1
201115453330,1,2
201115453362,1,9
201115453379,1,2
201115453382,1,0
201115453403,1,0
201115453418,1,0
201115453456,1,2
201115453456,1,4
201115453467,1,2
201115453472,1,2
201115453560,1,0
201115453572,1,0
201115453579,1,0
201115453592,1,0
201115453605,1,0
201115453798,1,0
201115453810,1,3
201115453828,1,1
201115453828,1,2
201115453859,1,19
201115453862,1,0
201115454075,1,17
201115454084,1,12
201115454147,1,2
201115454217,1,0
201115454220,1,21
201115454247,1,0
201115454292,1,2
201115454369,1,4
201115454446,1,0
201115454508,1,0
201115454677,1,0
201115454680,1,0
201115454759,1,2
201115454833,1,2
201115454931,1,0
201115454934,1,1
201115454940,1,2
201115454965,1,0
201115455052,1,1
201115455144,1,4
201115455168,1,0
201115455231,1,0
201115455240,1,0
201115455324,1,1
201115455432,1,0
201115455433,1,5
201115455519,1,0
201115455540,1,2
201115455540,1,9
201115455576,1,21
201115455580,1,7
201115455590,1,1
201115455599,1,0
201115455751,1,2
201115455830,1,2
201115455855,1,4
