CASENUM	VEH_NO	PER_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT	WEIGHT
201410746313	0	1	1	4	1	3	1	8	239.1168
201410746357	0	1	1	3	4	3	1	8	14.923428
201410746490	0	1	1	2	16	3	1	8	54.670896
201410746576	0	1	1	3	8	3	1	9	14.897799
201410746716	0	1	1	3	21	3	1	8	14.573372
201410746723	0	1	1	4	21	3	1	8	233.173952
201410746906	0	1	1	4	16	3	1	8	242.113968
201410746931	0	1	1	4	4	3	1	8	238.774848
201410747023	0	1	1	3	3	3	1	8	15.236148
201410747218	0	1	1	4	21	3	1	8	233.173952
201410747287	0	1	1	3	3	3	1	8	15.236148
201410747340	0	1	1	3	8	3	1	8	14.897799
201410747482	0	1	1	3	1	3	1	8	12.454
201410747487	0	1	1	3	16	3	1	2	15.620256
201410747582	0	1	1	3	4	3	1	8	14.923428
201410747630	0	1	1	3	4	3	1	8	14.923428
201410747678	0	1	1	3	8	3	1	8	14.897799
201410747766	0	1	1	3	13	3	1	8	14.75799
201410747895	0	1	1	3	3	3	1	8	15.236148
201410747922	0	1	1	4	7	3	1	8	237.608594
201410748032	0	1	1	3	8	3	1	8	14.897799
201410748041	0	1	1	4	8	3	1	8	238.364784
201410748046	0	1	1	6	8	3	1	8	99.31866
201410748046	0	2	1	6	8	3	1	8	99.31866
201410748145	0	1	1	3	21	3	1	8	14.573372
201410748331	0	1	1	4	3	3	1	8	238.699652
201410748561	0	1	1	3	21	3	1	8	14.573372
201410748679	0	1	1	3	7	3	1	8	15.166506
201410748702	0	1	1	3	3	3	1	8	15.236148
201410748782	0	1	1	3	10	3	1	8	14.349849
201410748789	0	1	1	3	21	3	1	8	14.573372
201411113142	0	1	1	3	2	4	3	8	13.0465
201411113142	0	2	1	3	2	4	3	8	13.0465
201411113166	0	1	1	3	2	4	3	8	13.0465
201411113559	0	1	1	3	1	4	3	8	13.0465
201411113589	0	1	1	3	1	4	3	8	13.0465
201411113972	0	1	1	3	2	4	3	8	13.0465
201411113972	0	2	1	3	2	4	3	8	13.0465
