CASENUM	VEH_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_FORMS	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PMAK_MOD	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PVEH_SEV	PTOWED	PM_HARM	PVEH_SC1	PVEH_SC2	PFIRE	WEIGHT
201410442571	2	1	4	4	2	3	1	0	9	9	11	14	0	2	0	49	399	49399	4	1994	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	8	5	12	0	0	0	215.54684
201410442654	2	1	4	16	2	3	1	0	8	12	34	14	0	2	0	52	399	52399	4	2001	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	213.289922
201410442654	3	1	4	16	2	3	1	0	8	12	34	14	0	2	0	20	399	20399	4	1998	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	0	5	12	0	0	0	213.289922
201410442688	2	1	4	6	2	3	1	0	9	17	4	14	0	2	0	2	499	2499	19	2005	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	5	8	5	12	0	0	0	246.401525
201410443127	2	1	4	10	2	3	1	0	11	13	31	14	0	2	0	37	399	37399	4	2011	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0	269.55978
201410443171	2	1	6	2	2	3	1	0	10	20	38	14	0	2	0	2	999	2999	49	2014	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	6	2	12	0	0	0	108.584
201410443199	2	1	4	4	2	3	1	0	11	15	31	14	0	2	0	71	709	71709	80	2008	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	3	8	5	12	0	0	0	215.54684
201410443241	1	1	4	10	2	3	1	0	11	18	29	14	0	2	0	48	399	48399	4	2006	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0	269.55978
201410443252	2	1	4	16	2	3	1	1	10	15	50	14	0	2	0	2	499	2499	49	2009	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0	213.289922
201410443390	1	1	4	3	2	3	1	1	11	12	0	14	0	3	0	6	399	6399	1	2000	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	83	8	5	12	0	0	0	244.314
201410443402	1	1	4	6	2	3	1	0	11	4	57	14	0	2	0	49	399	49399	4	2012	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	8	5	12	0	0	0	246.401525
201410443507	1	1	4	4	2	3	1	0	11	10	49	14	0	2	0	12	399	12399	4	2013	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	5	5	6	8	5	12	0	0	0	215.54684
201410443729	2	1	4	6	2	3	1	0	12	9	30	14	0	2	0	49	399	49399	4	2010	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	8	5	12	0	0	0	246.401525
201410736459	1	1	4	4	3	1	1	1	1	16	30	14	0	2	0	12	422	12422	15	2005	1FMZU72E95UB	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0	238.774848
201410736776	2	1	4	21	3	1	1	1	1	20	40	14	0	2	0	49	402	49402	14	2007	JTMZD33VX760	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	233.173952
201410736824	2	1	4	13	3	1	1	0	1	9	40	14	0	2	0	12	499	12499	49	2009	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	6	2	3	8	5	12	0	0	0	243.506835
201410737039	2	1	4	4	3	1	1	0	1	12	45	14	0	2	0	51	43	51043	6	2010	YV4960BZ0A10	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	5	12	0	0	0	238.774848
201410737477	1	1	4	4	3	1	1	0	1	11	38	14	0	2	0	55	33	55033	4	2012	5NPEC4AB8CH4	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	238.774848
201410737606	2	1	3	8	3	1	1	0	2	23	45	14	0	2	0	49	40	49040	4	2010	4T1BF3EK3AU0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	82	8	5	12	0	0	0	14.897799
201410737606	3	1	3	8	3	1	1	0	2	23	45	14	0	2	0	41	49	41049	4	2004	JM1FE17N9401	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	14.897799
201410737606	4	1	3	8	3	1	1	0	2	23	45	14	0	2	0	37	32	37032	4	2002	1HGCG16532A0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	2	12	0	0	0	14.897799
201410737606	5	1	3	8	3	1	1	0	2	23	45	14	0	2	0	37	441	37441	20	2012	5FNRL5H26CB0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	14.897799
201410737606	6	1	3	8	3	1	1	0	2	23	45	14	0	2	0	49	40	49040	4	2004	4T1BE32K7448	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	2	12	0	0	0	14.897799
201410737726	2	1	5	21	3	1	1	0	2	7	5	14	0	2	0	59	403	59403	14	2013	JTJBK1BA9D24	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	5	12	0	0	0	58.293488
201410737726	3	1	5	21	3	1	1	0	2	7	5	14	0	2	0	35	39	35039	4	2000	3N1CA31D5YT5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	5	12	0	0	0	58.293488
201410737726	4	1	5	21	3	1	1	0	2	7	5	14	0	2	0	54	421	54421	15	2011	2HNYD2H64BH5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	58.293488
201410737742	1	1	4	21	3	1	1	0	2	9	0	14	0	2	0	37	441	37441	20	2004	5FNRL18534B0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	233.173952
201410737906	2	1	6	21	3	1	1	0	2	6	46	14	0	2	0	23	881	23881	63	2002	1GDM7C1E72J5	9	77	777777777	77777777777	3	19	98	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0	102.013604
201410737920	2	1	1	21	3	1	1	0	2	4	57	40	0	2	0	49	401	49401	14	1995	JT3VN39W0S01	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	2	12	0	0	0	14.573372
201410737960	1	1	4	13	3	1	1	0	2	16	24	14	0	2	0	12	444	12444	20	2012	NM0LS7BN6CT0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	5	12	0	0	0	243.506835
201410737967	3	1	1	13	3	1	2	0	2	2	10	12	6	2	0	49	51	49051	4	2007	JTDBT9237710	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0	7.378995
201410737991	1	1	4	16	3	1	1	0	2	16	40	14	0	2	0	37	31	37031	4	2010	19XFA1F65AE0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	242.113968
201410738019	1	1	4	7	3	1	1	0	2	17	25	14	0	2	0	12	24	12024	6	2013	2FMDK4JC4DBB	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	237.608594
201410738237	2	1	4	3	3	1	1	0	2	8	59	14	0	2	0	35	39	35039	4	1999	JN1CA21D8XM4	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	5	8	5	12	0	0	0	238.699652
201410738303	2	1	4	8	3	1	1	0	2	19	20	14	0	2	0	97	997	97997	98	9998	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0	238.364784
201410738440	1	1	4	7	3	1	1	0	2	15	13	14	0	2	0	49	422	49422	15	2003	5TDBT44A03S1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0	237.608594
201410738650	1	1	4	13	3	1	1	0	3	10	20	14	0	2	0	49	40	49040	4	2004	4T1BE32K24U8	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	5	12	0	0	0	243.506835
201410738693	1	1	4	1	3	1	1	0	3	19	20	14	0	2	0	2	405	2405	14	2012	1C4PJMAK9CW1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	8	5	12	0	0	0	239.1168
201410738981	1	1	4	3	3	1	1	0	3	19	30	14	0	2	0	49	442	49442	20	2007	5TDBK22C47S0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	10	8	5	12	0	0	0	238.699652
201410739411	3	1	5	16	3	1	2	0	3	6	24	12	6	2	0	48	399	48399	9	2003	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	14	0	0	0	62.481024
201410739411	4	1	5	16	3	1	2	0	3	6	24	12	6	2	0	59	399	59399	9	2002	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	8	8	5	12	0	0	0	62.481024
201410739539	1	1	3	7	3	1	1	0	4	14	0	14	0	2	0	20	2	20002	4	2007	2G1WB58K2793	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	2	8	5	12	0	0	0	15.166506
201410739552	2	1	4	7	3	1	1	1	4	17	20	14	0	2	0	37	441	37441	20	2001	2HKRL18771H5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0	237.608594
201410739581	1	1	4	1	3	1	1	0	4	8	30	14	0	2	0	13	14	13014	6	2008	2LMDU88C58BJ	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	2	8	5	12	0	0	0	239.1168
201410739847	2	1	4	21	3	1	1	0	4	7	11	14	0	2	0	34	35	34035	4	1992	WBAHD1316NBF	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	5	12	0	0	0	233.173952
201410739868	3	1	4	21	3	1	2	0	4	20	14	12	7	2	0	35	51	35051	6	2013	JN8AS5MVXDW1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	233.173952
201410739979	1	1	4	7	3	1	1	2	4	20	30	14	0	2	0	48	38	48038	4	2009	JF1GH61659H8	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	5	12	0	0	0	237.608594
201410740004	2	1	4	16	3	1	1	0	4	19	30	14	0	2	0	49	40	49040	4	2012	4T1BF1FK8CU1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	242.113968
201410740277	1	1	4	13	3	1	1	0	5	14	11	14	0	2	0	35	39	35039	4	2004	1N4BA41E34C8	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	243.506835
201410740644	1	1	4	13	3	1	1	0	5	19	15	14	0	2	0	12	481	12481	31	2014	1FT8W3B65EEA	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	5	12	0	0	0	243.506835
201410740646	4	1	4	10	3	1	4	0	5	18	10	12	6	2	0	23	999	23999	49	2001	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0	239.16415
201410740662	1	1	4	21	3	1	1	0	5	6	50	14	0	2	0	35	402	35402	14	2000	5N1ED28Y6YC5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	5	12	0	0	0	233.173952
201410740697	3	1	5	8	3	1	2	0	5	19	20	12	6	2	0	97	997	97997	98	9998	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	98	8	5	12	0	0	0	59.591196
201410740698	1	1	4	8	3	1	1	0	5	21	45	14	0	2	0	49	402	49402	14	2010	2T3BK4DV5AW0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	5	12	0	0	0	238.364784
201410740734	3	1	1	8	3	1	2	0	5	15	0	12	6	2	0	12	499	12499	29	1998	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	4.965933
201410740994	3	1	6	8	3	1	2	0	5	20	47	12	6	2	0	42	401	42401	14	2006	4JGBB86E86A0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	99.31866
201410741140	1	1	4	21	3	1	1	0	5	8	0	14	0	2	0	59	399	59399	4	2009	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	8	5	12	0	0	0	233.173952
201410741188	1	1	4	8	3	1	1	0	5	13	0	14	0	2	0	2	404	2404	14	2014	1C4RJFBGXEC3	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	5	12	0	0	0	238.364784
201410741242	1	1	4	16	3	1	1	0	5	16	46	14	0	2	0	41	51	41051	4	2005	JM1BK12F0512	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	98	8	5	12	0	0	0	242.113968
201410741367	1	1	4	4	3	1	1	0	6	18	15	14	0	2	0	49	472	49472	30	2013	5TFUU4EN0DXD	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0	238.774848
201410741483	2	1	4	1	3	1	1	0	6	17	30	14	0	2	0	35	47	35047	4	2011	1N4AL2AP9BC1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	81	8	5	12	0	0	0	239.1168
