CASENUM	VEH_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	MDRMANAV	WEIGHT
201410440599	1	1	6	3	2	3	98	108.584
201410440609	1	1	4	3	2	3	0	244.314
201410440618	1	1	5	6	2	3	98	49.280305
201410440620	1	1	4	6	2	3	98	246.401525
201410440620	2	1	4	6	2	3	98	246.401525
201410440621	1	1	6	6	2	3	98	98.56061
201410440626	1	1	4	6	2	3	3	246.401525
201410440630	1	1	5	6	2	3	98	49.280305
201410440632	1	1	6	6	2	3	98	98.56061
201410440634	1	1	4	6	2	3	98	246.401525
201410440636	1	1	6	6	2	3	98	98.56061
201410440638	1	1	5	6	2	3	98	49.280305
201410440638	2	1	5	6	2	3	98	49.280305
201410440642	1	1	5	9	2	3	98	57.523731
201410440642	2	1	5	9	2	3	0	57.523731
201410440645	1	1	4	9	2	3	98	230.094924
201410440647	1	1	6	9	2	3	92	115.047462
201410440651	1	1	4	9	2	3	0	230.094924
201410440651	2	1	4	9	2	3	98	230.094924
201410440654	1	1	6	9	2	3	3	115.047462
201410440657	1	1	6	9	2	3	98	115.047462
201410440659	1	1	4	9	2	3	98	230.094924
201410440659	2	1	4	9	2	3	98	230.094924
201410440661	1	1	6	9	2	3	4	115.047462
201410440661	2	1	6	9	2	3	98	115.047462
201410440664	1	1	6	9	2	3	98	115.047462
201410440666	1	1	6	9	2	3	98	115.047462
201410440668	1	1	5	9	2	3	4	57.523731
201410440668	2	1	5	9	2	3	98	57.523731
201410440670	1	1	4	9	2	3	98	230.094924
201410440671	1	1	6	9	2	3	98	115.047462
201410440672	1	1	5	9	2	3	98	57.523731
201410440672	2	1	5	9	2	3	98	57.523731
201410440674	1	1	5	9	2	3	98	57.523731
201410440679	1	1	2	9	2	3	98	57.523731
201410440679	2	1	2	9	2	3	98	57.523731
201410440680	1	1	6	9	2	3	98	115.047462
201410440682	1	1	6	9	2	3	98	115.047462
201410440685	1	1	4	9	2	3	98	230.094924
201410440693	1	1	4	10	2	3	4	269.55978
201410440693	2	1	4	10	2	3	0	269.55978
201410440694	1	1	6	10	2	3	98	89.85326
201410440697	1	1	4	10	2	3	98	269.55978
201410440698	1	1	6	10	2	3	98	89.85326
201410440701	1	1	4	10	2	3	98	269.55978
201410440704	1	1	6	10	2	3	98	89.85326
201410440704	2	1	6	10	2	3	98	89.85326
201410440705	1	1	4	10	2	3	98	269.55978
201410440705	2	1	4	10	2	3	0	269.55978
201410440734	1	1	6	3	2	3	98	108.584
201410440734	2	1	6	3	2	3	0	108.584
201410440737	1	1	4	3	2	3	98	244.314
201410440737	2	1	4	3	2	3	4	244.314
201410440745	1	1	5	10	2	3	98	89.85326
201410440745	2	1	5	10	2	3	98	89.85326
201410440747	1	1	4	10	2	3	98	269.55978
201410440750	1	1	6	10	2	3	98	89.85326
201410440751	1	1	4	10	2	3	0	269.55978
201410440751	2	1	4	10	2	3	98	269.55978
201410440752	1	1	6	10	2	3	4	89.85326
201410440752	2	1	6	10	2	3	98	89.85326
201410440754	1	1	6	1	2	3	98	108.584
201410440756	1	1	5	1	2	3	0	54.292
201410440756	2	1	5	1	2	3	0	54.292
201410440757	1	1	1	1	2	3	98	27.146
201410440762	1	1	4	1	2	3	98	244.314
201410440762	2	1	4	1	2	3	98	244.314
201410440770	1	1	6	1	2	3	98	108.584
201410440770	2	1	6	1	2	3	98	108.584
201410440776	1	1	4	1	2	3	98	244.314
201410440776	2	1	4	1	2	3	98	244.314
201410440783	1	1	5	1	2	3	98	54.292
201410440783	2	1	5	1	2	3	98	54.292
201410440785	1	1	6	1	2	3	98	108.584
201410440786	1	1	3	1	2	3	92	27.146
201410440788	1	1	1	1	2	3	4	27.146
201410440788	2	1	1	1	2	3	98	27.146
201410440789	1	1	2	1	2	3	98	54.292
201410440789	2	1	2	1	2	3	98	54.292
201410440794	1	1	4	1	2	3	98	244.314
201410440794	2	1	4	1	2	3	98	244.314
201410440800	1	1	4	2	2	3	98	244.314
201410440800	2	1	4	2	2	3	4	244.314
201410440801	1	1	6	2	2	3	98	108.584
201410440817	1	1	4	3	2	3	0	244.314
201410440817	2	1	4	3	2	3	98	244.314
201410440828	1	1	5	3	2	3	98	54.292
201410440829	1	1	4	3	2	3	4	244.314
201410440829	2	1	4	3	2	3	98	244.314
201410440830	1	1	6	3	2	3	98	108.584
201410440830	2	1	6	3	2	3	98	108.584
201410440836	1	1	6	4	2	3	98	107.77342
201410440836	2	1	6	4	2	3	4	107.77342
201410440838	1	1	4	4	2	3	98	215.54684
201410440838	2	1	4	4	2	3	0	215.54684
201410440842	1	1	4	4	2	3	98	215.54684
201410440842	2	1	4	4	2	3	98	215.54684
201410440843	1	1	6	4	2	3	98	107.77342
201410440843	2	1	6	4	2	3	4	107.77342
201410440848	1	1	4	4	2	3	98	215.54684
201410440848	2	1	4	4	2	3	98	215.54684
201410440851	1	1	6	4	2	3	98	107.77342
201410440851	2	1	6	4	2	3	98	107.77342
201410440853	1	1	1	4	2	3	98	53.88671
201410440853	2	1	1	4	2	3	0	53.88671
201410440854	1	1	4	4	2	3	0	215.54684
201410440854	2	1	4	4	2	3	4	215.54684
201410440859	1	1	6	4	2	3	98	107.77342
201410440859	2	1	6	4	2	3	0	107.77342
201410440862	1	1	6	6	2	3	98	98.56061
201410440864	1	1	6	6	2	3	98	98.56061
201410440867	1	1	1	6	2	3	98	49.280305
201410440867	2	1	1	6	2	3	98	49.280305
201410440868	1	1	6	6	2	3	98	98.56061
201410440871	1	1	4	6	2	3	99	246.401525
201410440875	1	1	6	6	2	3	98	98.56061
201410440878	1	1	6	6	2	3	92	98.56061
201410440880	1	1	4	6	2	3	98	246.401525
201410440882	1	1	6	10	2	3	98	89.85326
201410440884	1	1	6	10	2	3	4	89.85326
201410440884	2	1	6	10	2	3	98	89.85326
201410440885	1	1	6	10	2	3	92	89.85326
201410440886	1	1	5	10	2	3	98	89.85326
201410440886	2	1	5	10	2	3	98	89.85326
201410440887	1	1	6	10	2	3	98	89.85326
201410440888	1	1	6	10	2	3	98	89.85326
201410440904	1	1	6	2	2	3	98	108.584
201410440906	1	1	4	2	2	3	98	244.314
201410440916	1	1	4	3	2	3	98	244.314
201410440916	2	1	4	3	2	3	98	244.314
201410440922	1	1	6	4	2	3	0	107.77342
201410440922	2	1	6	4	2	3	98	107.77342
201410440923	1	1	4	4	2	3	98	215.54684
201410440927	1	1	4	4	2	3	99	215.54684
201410440927	2	1	4	4	2	3	98	215.54684
201410440931	1	1	5	4	2	3	0	53.88671
201410440931	2	1	5	4	2	3	98	53.88671
201410440935	1	1	6	6	2	3	98	98.56061
201410440935	2	1	6	6	2	3	0	98.56061
201410440936	1	1	1	6	2	3	0	49.280305
201410440936	2	1	1	6	2	3	98	49.280305
201410440938	1	1	6	6	2	3	98	98.56061
201410440938	2	1	6	6	2	3	98	98.56061
201410440940	1	1	5	6	2	3	98	49.280305
201410440940	2	1	5	6	2	3	98	49.280305
201410440944	1	1	6	6	2	3	98	98.56061
201410440945	1	1	4	6	2	3	98	246.401525
201410440945	2	1	4	6	2	3	0	246.401525
201410440951	1	1	6	10	2	3	98	89.85326
201410440951	2	1	6	10	2	3	0	89.85326
201410440952	1	1	4	10	2	3	98	269.55978
201410440952	2	1	4	10	2	3	98	269.55978
201410440955	1	1	6	10	2	3	98	89.85326
201410440955	2	1	6	10	2	3	98	89.85326
201410440956	1	1	6	10	2	3	4	89.85326
201410440956	2	1	6	10	2	3	98	89.85326
201410440958	1	1	6	16	2	3	98	106.644961
201410440959	1	1	6	16	2	3	98	106.644961
201410440960	1	1	6	16	2	3	98	106.644961
201410440961	1	1	4	16	2	3	98	213.289922
201410440962	1	1	6	16	2	3	98	106.644961
201410440965	1	1	6	16	2	3	98	106.644961
201410440966	1	1	6	16	2	3	98	106.644961
201410440968	1	1	4	16	2	3	98	213.289922
201410440969	1	1	6	16	2	3	98	106.644961
201410441006	1	1	1	1	2	3	0	27.146
201410441006	2	1	1	1	2	3	98	27.146
201410441021	1	1	4	4	2	3	98	215.54684
201410441021	2	1	4	4	2	3	0	215.54684
201410441026	1	1	4	4	2	3	98	215.54684
201410441026	2	1	4	4	2	3	98	215.54684
201410441029	1	1	6	6	2	3	98	98.56061
201410441030	1	1	1	6	2	3	98	49.280305
201410441030	2	1	1	6	2	3	98	49.280305
201410441031	1	1	4	6	2	3	0	246.401525
201410441031	2	1	4	6	2	3	4	246.401525
201410441033	1	1	6	6	2	3	98	98.56061
201410441033	2	1	6	6	2	3	98	98.56061
201410441040	1	1	6	10	2	3	98	89.85326
201410441040	2	1	6	10	2	3	98	89.85326
201410441041	1	1	6	10	2	3	4	89.85326
201410441041	2	1	6	10	2	3	0	89.85326
201410441042	1	1	5	10	2	3	98	89.85326
201410441042	2	1	5	10	2	3	0	89.85326
201410441043	1	1	4	10	2	3	98	269.55978
201410441065	1	1	6	2	2	3	98	108.584
