CASENUM,VEH_NO,MTM_CRSH
201013535465,1,0
201013535654,1,0
201013535744,1,21
201013535817,1,2
201013535828,1,0
201013535989,1,0
201013536142,1,0
201013536258,1,2
201013536313,1,0
201013536354,1,4
201013536545,1,0
201013536565,1,18
201013537007,1,21
201013537199,1,0
201013537243,1,10
201013537357,1,0
201013537357,2,0
201013537471,1,10
201013537783,1,0
201013537852,1,0
201013537906,1,0
201013538005,1,2
201013538036,1,0
201013538043,1,0
201013538059,1,0
201013538275,1,0
201013538275,2,0
201013538358,1,21
201013538424,1,1
201013538460,1,21
201013538693,1,1
201013538722,1,19
201013538842,1,0
201013538882,1,1
201013539475,1,21
201013539611,1,0
201013539817,1,0
201013539906,1,5
201014066943,1,1
201014066944,1,21
201014067692,1,4
201014067708,1,0
201014069348,1,10
201014069473,1,1
201014069878,1,18
201014069901,1,1
201014070756,1,10
201014070994,1,2
201014071101,1,21
201014071184,1,21
201014072465,1,0
201014072712,1,0
201014073022,1,1
201014101394,1,0
201014102308,1,0
201014102460,1,0
201014102497,1,2
201014102497,1,12
201014102811,1,0
201014102967,1,2
201014102967,1,3
201014103206,1,2
201014103206,1,6
201014104174,1,0
201014104238,1,2
201014104238,1,12
201014104272,1,12
201014104820,1,0
201014104878,1,9
201014104976,1,1
201014104993,1,0
201014105043,1,21
201014105118,1,1
201014105118,1,2
201014105118,1,12
201014105326,1,0
201014105625,1,9
201014105751,1,0
201014106007,1,2
201014106237,1,0
201014107059,1,1
201014107059,1,12
201014738958,1,0
201014739120,1,2
201014739166,1,0
201014739192,1,0
201014739259,1,18
201014739349,1,0
201014739349,2,0
201014739454,1,7
201014739596,1,2
201014739603,1,0
201014740019,1,1
201014740035,1,21
201014740119,1,2
201014740299,1,1
201014740480,1,0
201014740580,1,14
201014740616,1,2
201014740635,1,0
201014740641,1,7
201014740680,1,21
201014740705,1,0
201014740823,1,19
201014740824,1,2
201014740851,1,2
201014741069,1,5
201014741249,1,0
201014741334,1,0
201014741424,1,0
201014741432,1,21
201014741462,1,1
201014741618,1,4
201014741626,1,1
201014741926,1,0
201014964758,1,0
201014964912,1,1
201014964912,1,19
201014965452,1,0
201014965548,1,1
201014966424,1,2
201014966562,1,4
201014967171,1,0
201014967385,1,4
201014967901,1,2
201014968014,1,2
201014968629,1,0
201014968727,1,0
201014968987,1,12
201014969049,1,0
201014969122,1,0
201014969416,1,1
201014969477,1,0
201014969507,1,0
201014969507,2,0
201014969885,1,2
201014970160,1,4
201014970702,1,0
201014971261,1,0
201014971354,1,0
201014971372,1,0
201014971526,1,1
201014971813,1,0
201014972193,1,10
201014972234,1,1
201014972286,1,0
201014972445,1,2
201014972763,1,1
201014972815,1,0
201014972904,1,0
201014972947,1,2
201014973141,1,1
201014973378,1,1
201014973453,1,1
201014973685,1,0
201014973694,1,0
201014974181,1,21
201014974181,2,21
201014974181,3,21
201014974181,4,21
201014974181,5,21
201014974251,1,0
201014974303,1,4
201014975343,1,9
201014975484,1,2
201014975592,1,7
201014975670,1,0
201014976182,1,2
201014976248,1,1
201014976296,1,2
201014976445,1,1
201014976855,1,1
201014976927,1,1
201014977299,1,4
201014977405,1,1
201014977524,1,0
201014977670,1,2
201014978301,1,1
201014978957,1,0
201014978958,1,0
201014979053,1,4
201014979115,1,19
201014979116,1,1
201014979119,1,1
201014979226,1,1
201014980016,1,1
201014980651,1,1
201015446323,1,0
201015446454,1,0
201015446558,1,2
201015446561,1,0
201015446561,2,0
201015446563,1,9
201015446563,2,9
201015446787,1,7
201015446994,1,1
201015447013,1,2
201015447062,1,0
201015447082,1,0
201015447111,1,2
201015447141,1,10
201015447221,1,0
201015447228,1,0
201015447350,1,2
201015447451,1,0
201015447451,2,0
201015447528,1,0
201015447565,1,21
201015447578,1,0
201015447598,1,0
201015447725,1,0
201015447753,1,12
201015447832,1,2
201015447847,1,0
201015447932,1,0
201015447932,2,0
201015447945,1,0
201015447956,1,0
201015447963,1,0
201015447976,1,0
201015448068,1,1
201015448094,1,0
201015448167,1,0
201015448183,1,0
201015448315,1,1
201015448461,1,14
201015448461,2,14
201015448482,1,15
201015448496,1,0
201015448516,1,2
201015448566,1,21
201015448583,1,9
201015448595,1,0
201015448607,1,0
201015448833,1,0
201015448960,1,0
201015449124,1,17
201015449307,1,0
201015449320,1,2
201015449387,1,0
201015449424,1,2
201015449424,1,3
201015449469,1,0
201015449481,1,0
201015449498,1,0
201015449506,1,0
201015449551,1,0
201015449573,1,0
201015449662,1,2
201015449662,1,3
201015449788,1,21
201015449847,1,2
201015449912,1,0
201015449967,1,0
201015449977,1,0
201015450055,1,15
201015450147,1,0
201015450178,1,2
201015450381,1,2
201015450409,1,21
201015450468,1,2
201015450491,1,0
201015450506,1,0
201015450551,1,0
201015450600,1,2
201015450680,1,0
201015450683,1,21
201015450769,1,2
201015450905,1,0
201015450921,1,3
201015450946,1,7
201015450946,1,21
201015451018,1,2
201015451023,1,0
201015451046,1,2
201015451170,1,21
201015451235,1,0
201015451258,1,0
201015451264,1,0
201015451402,1,0
201015451422,1,0
201015451497,1,21
201015451553,1,1
201015451605,1,0
201015451605,2,0
201015451653,1,0
201015451703,1,2
201015451798,1,2
201015451821,1,2
201015451836,1,0
201015451883,1,12
201015451911,1,0
201015451971,1,0
201015452043,1,0
201015452050,1,0
201015452141,1,0
201015452247,1,0
201015452255,1,0
201015452445,1,2
201016139845,1,0
201016140014,1,0
201016140395,1,21
201016140990,1,0
201016141236,1,0
201016141717,1,15
201016141726,1,1
201016141726,1,2
201016142483,1,0
201016142604,1,0
201016142637,1,2
201016142815,1,21
201016142982,1,7
201016143010,1,1
201016143265,1,21
201016144022,1,4
201016144117,1,1
201016144211,1,2
201016144211,1,3
201016144415,1,0
201016144501,1,0
201016144886,1,0
201016145143,1,0
201016146015,1,1
201016146201,1,0
201016146317,1,4
201016146370,1,2
201016146603,1,0
201016146607,1,0
201016146643,1,21
201016146665,1,2
201016146747,1,0
201016147095,1,1
201016147465,1,0
201016147476,1,1
201016147744,1,14
201016147859,1,0
201016148137,1,0
201016148312,1,0
201016148389,1,0
201016148570,1,4
201016149410,1,0
201016150435,1,0
201016150539,1,0
201016150550,1,0
201016150675,1,2
201016151283,1,0
201016151424,1,0
201016151455,1,0
201016151512,1,0
201016151564,1,2
201016151670,1,2
201016152436,1,1
201016152516,1,21
201016152986,1,0
201016153389,1,0
201016153565,1,1
201016153726,1,4
201016154248,1,0
201016154307,1,2
201016154623,1,0
201016154752,1,0
201016155173,1,1
201016155322,1,0
201016155425,1,0
201016556311,1,17
201016557063,1,1
201016557272,1,0
201016558003,1,2
201016558003,1,19
201016558011,1,0
201016558834,1,0
201016559098,1,0
201016559220,1,1
201016559295,1,2
201016559295,1,14
201016559564,1,0
201016559649,1,0
201016559702,1,2
201016559702,1,3
201016560711,1,0
201016561176,1,1
201016561176,1,2
201016562810,1,0
201016562939,1,0
201016563207,1,0
201016563304,1,0
201016563798,1,0
201016563924,1,2
201016565049,1,2
201016565155,1,1
201016565364,1,21
201016565537,1,5
201016566004,1,2
201016566040,1,0
201016566166,1,0
201016566316,1,0
201016566639,1,0
201016566784,1,0
201016566889,1,4
201016567173,1,0
201016567706,1,0
201016568055,1,2
201016568481,1,0
201017261026,1,1
201017261026,1,2
201017261026,1,12
201017261093,1,0
201017261094,1,12
201017261251,1,0
201017261472,1,1
201017261472,1,12
201017262114,1,1
201017262114,1,2
201017262192,1,2
201017262192,1,3
201017262573,1,0
201017262584,1,21
201017262664,1,9
201017262813,1,0
201017263027,1,3
201017263397,1,2
201017263397,1,6
201017263397,1,12
201017263407,1,2
201017263407,1,12
201017263422,1,1
201017263422,1,2
201017263422,1,12
201017263783,1,0
201017263830,1,0
201017264070,1,0
201017264408,1,0
201017265074,1,0
201017265450,1,4
201017265648,1,1
201017265648,1,2
201017265716,1,0
201017265741,1,2
201017266007,1,1
201017266007,1,2
201017266138,1,1
201017266272,1,0
201017266387,1,2
201017266387,1,12
201017266564,1,0
201017267178,1,2
201017267178,1,19
201017502591,1,0
201017502605,1,0
201017502691,1,2
201017502691,1,3
201017502720,1,0
201017502799,1,0
201017502805,1,1
201017502842,1,1
201017502895,1,0
201017502930,1,1
201017502949,1,0
201017502968,1,21
201017502969,1,12
201017502997,1,0
201017503046,1,0
201017503053,1,0
201017503075,1,0
201017503085,1,0
201017503116,1,1
201017503129,1,9
201017503130,1,1
201017503143,1,2
201017503173,1,1
201017503175,1,0
201017503214,1,9
201017503244,1,1
201017503280,1,18
201017503301,1,1
201017503323,1,2
201017503335,1,1
201017503360,1,21
201017503369,1,0
201017503385,1,3
201017503403,1,2
201017503403,1,17
201017503462,1,1
201017503471,1,1
201017503473,1,7
201017503485,1,0
201017503545,1,1
201017503555,1,1
201017503559,1,0
201017503576,1,0
201017503595,1,12
201017503628,1,0
201017503660,1,0
201017503663,1,0
201017503702,1,2
201017503725,1,1
201017503762,1,2
201017503779,1,2
201017503782,1,2
201017503795,1,0
201017503808,1,2
201017503816,1,0
201017503821,1,1
201017503839,1,0
201017503873,1,1
201017503896,1,1
201017503897,1,4
201017503903,1,0
201017503904,1,21
201017503930,1,0
201017504000,1,2
201017504038,1,0
201017504059,1,2
201017504059,1,3
201017504153,1,2
201017504153,1,17
