CASENUM,VEH_NO,DRIMPAIR
201010426816,1,0
201010426824,1,9
201010426824,2,0
201010426830,1,0
201010426830,2,0
201010426830,3,0
201010426831,1,0
201010426831,2,0
201010426834,1,0
201010426834,2,0
201010426840,1,0
201010426843,0,0
201010426843,1,0
201010426847,2,0
201010426850,1,0
201010426850,2,0
201010426852,1,0
201010426852,2,0
201010426855,0,0
201010426855,1,0
201010426856,1,0
201010426859,1,0
201010426859,2,0
201010426860,1,0
201010426862,1,0
201010426863,1,2
201010426863,2,0
201010426865,1,0
201010426866,1,0
201010426866,2,0
201010426869,1,0
201010426876,1,0
201010426876,2,0
201010426877,1,0
201010426877,2,0
201010426878,1,0
201010426878,2,0
201010426878,3,0
201010426884,1,0
201010426893,1,0
201010426894,1,2
201010426907,1,0
201010426907,2,0
201010426908,1,0
201010426908,2,0
201010426910,1,0
201010426910,2,0
201010426914,1,0
201010426915,1,0
201010426915,2,0
201010426920,1,0
201010426920,2,0
201010426921,1,0
201010426921,2,0
201010426921,3,0
201010426921,4,0
201010426925,1,0
201010426925,2,0
201010426926,1,0
201010426926,2,0
201010426927,1,0
201010426927,2,0
201010426930,1,0
201010426930,2,0
201010426930,3,0
201010426932,1,0
201010426936,1,0
201010426936,2,0
201010426939,1,0
201010426939,2,0
201010426940,1,0
201010426940,2,0
201010426941,1,0
201010426946,1,0
201010426946,2,0
201010426953,1,0
201010426953,2,0
201010426954,1,0
201010426957,1,0
201010426961,1,2
201010426962,1,0
201010426962,2,0
201010426965,1,0
201010426966,1,0
201010426966,2,0
201010426969,1,0
201010426969,2,0
201010426975,1,0
201010426975,2,0
201010426978,1,0
201010426978,2,0
201010426979,1,9
201010426979,2,0
201010426983,1,0
201010426983,2,0
201010426984,1,0
201010426984,2,0
201010427004,1,0
201010427008,1,0
201010427008,2,0
201010427022,1,0
201010427023,1,0
201010427023,2,0
201010427024,1,0
201010427025,1,0
201010427025,2,0
201010427028,1,0
201010427033,1,0
201010427036,1,0
201010427036,2,0
201010427040,0,0
201010427044,1,0
201010427044,2,0
201010427046,1,0
201010427050,1,0
201010427052,1,0
201010427053,1,0
201010427057,1,0
201010427057,2,0
201010427060,1,0
201010427061,1,1
201010427062,1,0
201010427062,2,0
201010427063,1,9
201010427067,1,0
201010427067,2,0
201010427070,1,0
201010427070,2,0
201010427071,1,0
201010427078,1,0
201010427078,2,0
201010427079,1,0
201010427079,2,0
201010427086,1,0
201010427086,2,0
201010427090,1,0
201010427090,2,0
201010427096,1,0
201010427098,1,0
201010427102,1,0
201010427102,2,0
201010427105,1,0
201010427105,2,0
201010427109,0,0
201010427109,1,0
201010427118,1,0
201010427118,2,0
201010427119,1,0
201010427125,1,0
201010427125,2,0
201010427127,1,0
201010427128,1,0
201010427129,0,0
201010427133,1,0
201010427147,1,0
201010427147,2,0
201010427149,1,0
201010427151,1,0
201010427153,1,0
201010427167,1,1
201010427169,1,0
201010427169,2,0
201010427170,1,0
201010427171,1,0
201010427175,0,0
201010427175,1,0
201010427176,1,0
201010427179,1,0
201010427179,2,0
201010427183,1,0
201010427183,2,0
201010427184,1,0
201010427184,2,0
201010427193,1,0
201010427197,1,0
201010427204,1,0
201010427204,2,0
201010427224,1,0
201010427224,2,0
201010427224,3,0
201010427224,4,0
201010427227,1,0
201010427228,1,0
201010427228,2,0
201010427229,1,0
201010427229,2,0
201010427233,0,0
201010427233,1,9
201010427238,1,1
201010427239,0,0
201010427239,0,0
201010427239,0,0
201010427239,0,0
201010427239,1,8
201010427239,2,0
201010427250,1,0
201010427250,2,0
201010427252,1,0
201010427252,2,0
201010427259,1,0
201010427264,1,9
201010427270,1,0
201010427270,2,0
201010427271,1,0
201010427271,2,0
201010427272,1,0
201010427274,1,9
201010427274,2,0
201010427275,1,0
201010427275,2,0
201010427281,1,0
201010427282,1,1
201010427284,1,0
201010427318,1,0
201010427321,1,0
201010427321,2,0
201010427323,1,0
201010427323,2,0
201010427326,1,0
201010427326,2,0
201010427328,1,0
201010427328,2,0
201010427329,1,0
201010427329,2,0
201010427330,1,0
201010427330,2,0
201010427332,1,0
201010427332,2,0
201010427334,1,0
201010427337,1,0
201010427337,2,0
201010427341,1,0
201010427348,1,0
201010427348,2,0
201010427351,1,2
201010427354,1,0
201010427354,2,0
201010427354,3,0
201010427357,1,0
201010427357,2,0
201010427375,1,0
201010427378,1,0
201010427378,2,0
201010427380,1,0
201010427380,2,0
201010427384,1,0
201010427384,2,0
201010427407,1,0
201010427409,1,0
201010427411,1,0
201010427411,2,0
201010427415,1,1
201010427416,1,0
201010427416,2,0
201010427417,1,9
201010427419,1,0
201010427423,1,0
201010427423,2,0
201010427430,1,0
201010427430,2,0
201010427432,1,0
201010427432,2,0
201010427433,1,0
201010427434,1,0
201010427434,2,0
201010427446,1,0
201010427446,2,0
201010427453,1,0
201010427456,1,9
201010427457,1,0
201010427457,2,0
201010427459,1,0
201010427459,2,0
201010427461,1,0
201010427461,2,0
201010427466,1,9
201010427469,1,0
201010427469,2,0
201010427473,1,0
201010427474,1,0
201010427474,2,0
201010427484,1,0
201010427484,2,0
201010427495,1,0
201010427496,1,0
201010427496,2,0
201010427501,1,0
201010427504,1,0
201010427507,1,0
201010427512,1,0
201010427512,2,0
201010427517,1,0
201010427517,2,0
201010427521,1,0
201010427524,1,0
201010427544,1,9
201010427547,1,0
201010427548,1,0
201010427565,1,0
201010427565,2,0
201010427569,1,0
201010427571,1,0
201010427571,2,0
201010427572,1,0
201010427572,2,0
201010427574,1,0
201010427585,1,9
201010427589,1,0
201010427590,1,9
201010427594,1,0
201010427594,2,0
201010427600,1,0
201010427600,2,0
201010427601,1,0
201010427603,1,0
201010427609,1,0
201010427609,2,0
201010427610,1,0
201010427611,1,0
201010427612,1,0
201010427613,1,0
201010427613,2,0
201010427614,1,0
201010427614,2,0
201010427616,1,0
201010427617,1,0
201010427619,1,0
201010427622,1,0
201010427624,1,0
201010427626,1,9
201010427629,1,0
201010427629,2,0
201010427634,1,0
201010427634,2,0
201010427634,3,0
201010427640,1,0
201010427642,1,0
201010427643,1,0
201010427645,1,0
201010427645,2,0
201010427648,1,0
201010427648,2,0
201010427653,0,0
201010427653,1,0
201010427654,1,0
201010427663,1,0
201010427664,1,0
201010427669,1,9
201010427671,1,0
201010427671,2,0
201010427677,1,0
201010427679,1,0
201010427679,2,0
201010427680,1,0
201010427680,2,0
201010427681,1,0
201010427681,2,0
201010427681,3,0
201010427682,1,0
201010427684,0,0
201010427684,1,0
201010427685,1,2
201010427685,2,0
201010427689,1,9
201010427691,1,0
201010427691,2,0
201010427696,1,0
201010427696,2,0
201010427697,1,0
201010427698,1,0
201010427700,1,0
201010427700,2,0
