CASENUM,PER_NO,MTM_CRSH
201410441070,1,15
201410441557,1,21
201410441848,1,21
201410441905,1,3
201410441982,1,7
201410442092,1,21
201410442128,1,6
201410442128,1,11
201410442129,1,8
201410442182,1,0
201410442239,1,7
201410442256,1,0
201410442272,1,0
201410442336,1,2
201410442477,1,0
201410442478,1,0
201410442555,1,0
201410442836,1,0
201410442936,1,0
201410443213,1,8
201410443646,1,0
201410443742,1,21
201410736844,1,3
201410736939,1,0
201410737528,1,0
201410737708,1,0
201410737731,1,0
201410737852,1,0
201410737852,2,0
201410737881,1,6
201410737881,1,8
201410738314,1,0
201410738315,1,0
201410738343,1,2
201410738343,1,3
201410738368,1,0
201410738407,1,3
201410738736,1,2
201410738832,1,0
201410739133,1,2
201410739216,1,0
201410739272,1,0
201410739472,1,0
201410739812,1,2
201410740105,1,0
201410740203,1,0
201410740287,1,11
201410740287,1,12
201410740360,1,21
201410740389,1,0
201410740491,1,0
201410740514,1,0
201410740538,1,0
201410740552,1,0
201410740642,1,2
201410740718,1,0
201410740793,1,0
201410740906,1,0
201410740969,1,0
201410741049,1,0
201410741184,1,0
201410741337,1,2
201410741391,1,0
201410741549,1,0
201410741816,1,0
201410741878,1,2
201410741878,2,2
201410741908,1,0
201410741934,1,2
201410741984,1,0
201410741990,1,1
201410742037,1,11
201410742137,1,0
201410742198,1,0
201410742253,1,11
201410742277,1,1
201410742392,1,1
201410742481,1,2
201410742522,1,3
201410742556,1,0
201410742586,1,0
201410742631,1,0
201410742645,1,0
201410742727,1,0
201410742833,1,2
201410742906,1,0
201410743017,1,2
201410743064,1,0
201410743095,1,0
201410743286,1,21
201410743325,1,0
201410743392,1,2
201410743392,1,21
201410743668,1,2
201410743726,1,11
201410743760,1,2
201410743819,1,1
201410743823,1,2
201410743888,1,0
201410743991,1,0
201410744027,1,0
201410744110,1,0
201410744125,1,2
201410744279,1,0
201410744291,1,0
201410744427,1,21
201410744475,1,0
201410744686,1,1
201410744848,1,0
201410744868,1,0
201410745043,1,2
201410745043,1,11
201410745158,1,0
201410745209,1,7
201410745515,1,2
201410745515,2,2
201410745557,1,0
201410745693,1,0
201410745752,1,21
201410745759,1,1
201410745918,1,0
201410745962,1,2
201410745962,1,21
201410745999,1,0
201410746113,1,0
201410746217,1,0
201410746313,1,0
201410746357,1,2
201410746357,1,3
201410746357,1,13
201410746490,1,2
201410746490,1,21
201410746576,1,1
201410746716,1,0
201410746723,1,11
201410746906,1,0
201410746931,1,21
201410747023,1,11
201410747218,1,0
201410747287,1,21
201410747340,1,21
201410747482,1,0
201410747487,1,6
201410747582,1,0
201410747630,1,0
201410747678,1,0
201410747766,1,0
201410747895,1,0
201410748032,1,0
201410748041,1,21
201410748046,1,0
201410748046,2,0
201410748145,1,0
201410748331,1,21
201410748561,1,0
201410748679,1,0
201410748702,1,0
201410748782,1,2
201410748782,1,21
201410748789,1,0
201411113142,1,1
201411113142,1,12
201411113142,1,19
201411113142,2,1
201411113142,2,12
201411113142,2,19
201411113166,1,1
201411113559,1,9
201411113589,1,2
201411113589,1,9
201411113972,1,0
201411113972,2,0
201411113972,3,0
201411114468,1,0
201411114865,1,1
201411115087,1,11
201411115087,1,12
201411115087,1,19
201411115439,1,19
201411115509,1,5
201411115551,1,9
201411115557,1,9
201411115764,1,0
201411115764,2,0
201411116048,1,1
201411116066,1,8
201411116274,1,7
201411116274,1,9
201411116449,1,2
201411116449,1,21
201411116482,1,2
201411116482,1,6
201411116488,1,2
201411116488,1,6
201411116488,1,11
201411116769,1,11
201411116821,1,0
201411116873,1,9
201411116991,1,2
201411116991,1,11
201411117320,1,11
201411117320,1,12
201411117524,1,9
201411117541,1,1
201411117541,1,12
201411117549,1,2
201411117549,1,12
201411117555,1,6
201411117555,1,19
201411117571,1,0
201411117628,1,9
